Cliente;Data_Cadastro;Telefone;Email;Valor_Compra;Status;Categoria;ID_Produto;Endereco;Estado;CEP;Produto;Quantidade;Forma_Pagamento;Observacao
nathan gomes;2023-05-23;5531914243262;kaique70@das.net;926.63;INATIVO;Alimentos;Gq90-65rV;Moura;RS;80974-708;Bolacha;;dinheiro;Atraso na entrega
Dra. Vitória Souza;03/10/2024;71 3409 9179;oliveiranicole@da.com;9941.17;Em análise;Móveis;vd82-23WI;Chácara de Rodrigues, 25, Barro Preto, 56235729 Farias / PE;XX;56485-973;Sofá;;dinheiro;Cliente VIP
Sra. Calebe Rocha;2024-01-29;51 5114 2492;diogo42@ramos.com;395.4;;Eletrônicos;Bt98-69ci;Lago João da Costa, 567, Santana Do Cafezal, 51939-908 Mendes Grande / PB;AM;69996179;Notebook;;;Atraso na entrega
Maria Sophia Moreira;2023-09-16;5541951198037;acosta@pinto.org;3636,44;Em análise;Eletrônicos;OP99-07gl;Viaduto de da Costa, Santa Branca, 72184366 Cunha das Flores / SC;RS;39232-328;Fone de Ouvido;;Dinheiro;Cliente VIP
Nicole Monteiro;18/06/2024;5551983309260;laura94@da.com;8784,29;Em análise;Móveis;HN45-25ZB;Feira de da Luz, 55, Vila Sumaré, 65651-527 Sales / RR;MG;13509537;Cadeira;;Boleto;Cliente VIP
Vitor Freitas;12/05/2023;+55 (071) 4438-1956;bryan26@yahoo.com.br;800.48;;Roupas;og37-19NI;Condomínio de Porto, Graça, 34079186 das Neves das Pedras / MS;SP;03197361;Vestido;;Boleto;Atraso na entrega
Maria Sophia Ribeiro;16/06/2023;5531980399488;thiagomoraes@da.org;3601,81;;Alimentos;wC80-72ML;Melo do Galho;MG;12543-980;Refrigerante;;Dinheiro;Cliente VIP
Maria Luiza Barbosa;2023-10-10;31 9246-9760;maxime@assumenda;572,42;Inativo;Roupas;kg32-88yW;Rua Calebe Farias, 8, Novo Ouro Preto, 04862380 Fogaça de Duarte / RO;XX;05829861;Vestido;5;;Entregar urgente
Sra. Ian Lopes;28/08/2024;5561954321608;da-cruzmilena@moraes.br;5269,28;INATIVO;Eletrônicos;Dw72-92FE;Jardim de da Costa, 506, Alto Dos Pinheiros, 27233311 Santos Paulista / PI;SP;94902-907;Tablet;;Boleto;
bianca gonçalves;18/10/2024;71 4938-5317;yago28@gomes.br;2541,74;;Roupas;pS44-82qY;Pátio de Azevedo, 910, Heliopolis, 05647-932 Moura / AC;MG;28670278;Calça;1;;Atraso na entrega
pedro henrique nunes;2023-07-14;+55 (071) 9838-1869;eda-luz@moura.net;4191,9;Em análise;Alimentos;TH01-18Pa;Alves de Minas;RJ;85237634;Refrigerante;1;;Entregar urgente
yasmin da cruz;2023-08-12;5531933263112;milena38@hotmail.com;1667.84;INATIVO;Móveis;nq65-66gF;Estrada Nogueira, 16, Vila Independencia 2ª Seção, 47164-478 das Neves da Mata / GO;RJ;48491155;Armário;;Dinheiro;Atraso na entrega
Otávio Moura;2024-11-19;5561958827757;ycosta@gomes.com;2609.37;Inativo;Móveis;sp46-74nZ;Trevo João Gabriel Souza, 7, Monte Azul, 09971-869 Caldeira do Galho / PA;MG;62728-795;Mesa;;Boleto;Cliente VIP
Dra. Ana Sophia Cardoso;2025-03-13;5531936036021;valves@duarte.com;6565,36;ativo;Alimentos;TL70-44sH;Ribeiro do Campo;RJ;55470282;Refrigerante;;Cartão;Cliente VIP
ana júlia pires;2024-07-25;0900-038-3603;kda-costa@gmail.com;5965,69;Inativo;Eletrônicos;wE32-71kc;Rua Moraes, 68, Vila Jardim São José, 31364484 Silva / MS;SP;46234-079;Smartphone;;Dinheiro;
vitor hugo rocha;06/07/2023;+55 (041) 1880 9705;pmonteiro@uol.com.br;9033.11;Ativo;Eletrônicos;XT08-48Dc;Núcleo da Luz, 31, Campo Alegre, 28927798 Porto de Minas / MT;MG;83923-928;Notebook;;PIX;Atraso na entrega
Sr. Vitor Hugo Barbosa;14/12/2024;+55 (041) 5266-1757;juliada-mota@bol.com.br;8223.02;Ativo;Alimentos;pA74-56yq;Vereda da Rocha, 262, Vila Betânia, 35794-413 Lima / PB;SP;14166-742;Chocolate;;Boleto;Cliente VIP
Sr. Esther Moura;2024-08-25;+55 (081) 8893-5380;alanamartins@dias.org;6989.1;Inativo;Alimentos;uC10-98Sq;Via Vitor Gabriel Pinto, 1, Vila Coqueiral, 87799-267 Martins do Amparo / TO;AM;00311-743;Café;2;;Entregar urgente
lavínia da cruz;2025-04-12;5584929775991;almeidapedro-lucas@nunes.br;2508,28;Ativo;Alimentos;cL46-00RH;Aeroporto Dias, 80, Milionario, 71842-764 Santos / RO;AM;156151;Bolacha;2;Boleto;Cliente VIP
Natália da Mota;2024-09-11;5521968438837;larissa64@pires.com;1839,33;Em análise;Eletrônicos;oM39-62TM;Colônia da Mata, 8, Vila Ecológica, 48398-002 Barbosa / DF;MG;62442897;Fone de Ouvido;;;Atraso na entrega
joão felipe azevedo;17/03/2024;5541972300803;castromurilo@azevedo.org;6924.17;ativo;Eletrônicos;UB64-08yA;Estação de da Mota, 44, Minas Caixa, 55032581 Azevedo / TO;RS;28827154;Tablet;;Cartão;Cliente VIP
Sr. Sra. Ana Luiza Novaes;2024-12-19;5531916066230;bcampos@bol.com.br;9049,82;Ativo;Alimentos;tg49-02ZV;Gonçalves;SP;60920584;Café;;Boleto;Atraso na entrega
ryan cunha;2025-02-07;+55 84 8998-5961;theosilva@ig.com.br;5468.06;Inativo;Eletrônicos;DX83-47xU;Praia de da Rocha, 42, Carlos Prates, 18598-525 Gomes de Almeida / MG;RS;26599790;Notebook;;Cartão;Cliente VIP
Isabella Pereira;17/10/2023;+55 84 6799 9111;esther70@pereira.br;6285,49;Inativo;Alimentos;gV46-11Ax;Lagoa Souza, 77, Santa Sofia, 20284093 Carvalho Grande / PR;MG;39780808;Refrigerante;3;Boleto;
Maria Fernanda Aragão;29/03/2024;5541974823365;hcardoso@ig.com.br;7465,41;Inativo;Eletrônicos;LW92-69dA;Araújo de Cavalcanti;MG;80270215;Smartphone;1;Cartão;
srta. maitê melo;2024-10-12;81 8202-5176;fogacaana-julia@mendes.net;4487.53;Em análise;Móveis;XA95-84ot;Via Evelyn Dias, 4, Conjunto Novo Dom Bosco, 71299175 Silveira da Serra / MA;AM;21520106;Mesa;2;Cartão;Entregar urgente
Nicolas Alves;2023-05-20;5551980015406;emanuel82@rezende.br;1500.34;ativo;Móveis;hA32-24Ze;Lagoa Vieira, 57, Vila Suzana Primeira Seção, 33490-037 Azevedo / SP;SP;09412-241;Mesa;;PIX;
joão miguel nunes;2024-06-27;5571921808588;giovanna37@bol.com.br;3853.22;Em análise;Móveis;rz57-76Nl;Parque Novaes, Novo Tupi, 89633853 Rocha da Prata / RN;AM;50889-717;Armário;2;PIX;Entregar urgente
Lívia da Paz;2024-04-21;+55 41 5031 9554;malmeida@uol.com.br;8028.84;Em análise;Eletrônicos;Rt57-69Mp;Nascimento;SP;96898525;Fone de Ouvido;;dinheiro;Cliente VIP
Dr. Sr. Isaac Cardoso;25/07/2023;+55 (081) 0514 0131;gabrielanascimento@yahoo.com.br;1171.44;Em análise;Eletrônicos;EU20-14PL;Trevo Gabriela Lima, 597, Santa Rita, 84122199 Pereira / MT;XX;40406924;Fone de Ouvido;;PIX;Atraso na entrega
Dr. Pedro Miguel Nogueira;22/02/2025;+55 (081) 7669-9539;joaquimpeixoto@da.net;8124.77;INATIVO;Alimentos;LJ12-25wY;Loteamento Teixeira, 91, São Jorge 1ª Seção, 85786468 Souza do Sul / PB;XX;01600289;Refrigerante;2;Dinheiro;
Luigi Rocha;24/11/2024;+55 11 8090-6129;davi-luiz85@silva.net;8313.9;Em análise;Roupas;Fz84-57pb;Viela Campos, 4, Braúnas, 68978-758 Gonçalves / SP;AM;44326-278;Jaqueta;5;;Entregar urgente
Ana Luiza Ribeiro;29/05/2023;+55 11 3526-1501;maria-fernanda10@hotmail.com;2802,9;Ativo;Alimentos;Gs74-12VN;Setor de Melo, 65, Vila Madre Gertrudes 2ª Seção, 53165-028 da Paz / AC;AM;75940380;Café;4;PIX;Atraso na entrega
Alícia Azevedo;04/11/2024;+55 (031) 4206-9740;rmoraes@nascimento.br;8210.3;Inativo;Móveis;zF28-56Im;Conjunto de Farias, 94, Ribeiro De Abreu, 05772669 Campos Paulista / GO;AM;30883367;Cadeira;;;Atraso na entrega
Sr. Joaquim Vieira;14/08/2023;+55 (051) 0884 6889;ana-vitoriacardoso@uol.com.br;4061,43;;Móveis;GN57-27SZ;Novaes da Serra;RJ;52664148;Armário;5;Dinheiro;Entregar urgente
kamilly jesus;16/08/2024;+55 (051) 8661-9164;efreitas@cavalcanti.com;6218.46;Inativo;Roupas;ex26-01Yw;Fogaça;MG;25803589;Calça;5;;Cliente VIP
Maitê Pereira;03/05/2024;71 9027 4872;maysa83@uol.com.br;2231,82;;Roupas;jW21-96MU;Colônia da Mota, 4, Novo Glória, 50852894 Rezende / PE;AM;51766-694;Jaqueta;2;PIX;
Sr. Cauê Ribeiro;2023-12-27;(071) 3914 4678;gustavoduarte@nunes.com;4783.65;Ativo;Alimentos;QW25-86Yu;Rua Nogueira, 63, Glória, 97325-637 da Mota / CE;SP;224979;Bolacha;5;;
Dra. Vitória Costa;25/03/2024;+55 31 2092-9697;piresbenjamin@hotmail.com;5081,47;;Alimentos;VD04-53St;Chácara Costela, 97, Vila Paraíso, 15780-903 Caldeira / MT;SP;90508740;Bolacha;;dinheiro;
Dr. Breno Castro;2024-09-18;+55 81 2705-5054;kevinsantos@rocha.br;9339,08;;Roupas;pG97-37MX;Ladeira de da Costa, 73, Ouro Minas, 51444886 Gonçalves Grande / PB;RS;56361574;Jaqueta;2;PIX;Atraso na entrega
sr. thiago sales;2024-06-21;5541927859800;cardosoana-laura@bol.com.br;3973.13;Em análise;Eletrônicos;nd30-09EL;Quadra Giovanna da Mota, 24, Estoril, 16492-753 Rocha / PI;SP;73950-688;Notebook;;Dinheiro;
Breno Fernandes;2023-05-11;71 5708 8909;pda-rocha@hotmail.com;1587.8;Em análise;Roupas;GH71-28gh;Conjunto de Peixoto, 97, Guarani, 42125596 Pinto da Prata / MG;RJ;53683759;Camisa;5;PIX;Cliente VIP
kevin porto;26/12/2023;+55 (011) 7220-5073;caraujo@da.com;5493.9;INATIVO;Móveis;fG64-36nx;Costa dos Dourados;AM;98481506;Sofá;;Dinheiro;Cliente VIP
mirella porto;01/12/2023;61 0200 1168;officiis@unde;3429,11;Ativo;Móveis;OC32-44QE;Passarela da Rocha, Salgado Filho, 08743-710 Peixoto / DF;MG;44483789;Armário;3;Dinheiro;Cliente VIP
Lucas Ramos;31/08/2023;41 6682-1489;azevedogustavo-henrique@moura.com;1030.41;INATIVO;Eletrônicos;Bm17-88Kt;Vereda Martins, 94, Vila Nova Dos Milionarios, 35445504 Nogueira do Galho / RJ;MG;07487-454;Tablet;1;;Atraso na entrega
Dr. Fernando Alves;2023-12-01;5561972775088;ceciliada-rosa@gmail.com;3364.29;;Eletrônicos;oL60-59Gn;Estação Marcela Teixeira, 34, Juliana, 62396402 da Mota / PA;SP;80227-373;Smartphone;;PIX;Entregar urgente
Otávio da Rocha;2025-03-25;5584926532489;vcunha@fogaca.com;501.7;Em análise;Móveis;Xu62-14kl;Condomínio Costela, 5, São Lucas, 02209043 Almeida Grande / MG;XX;15330744;Cadeira;;;Cliente VIP
Caio Fogaça;12/05/2023;5531963410652;lpeixoto@costa.net;9292,19;ativo;Roupas;Us79-21qN;Almeida;RS;04915-933;Camisa;;;Cliente VIP
Lorena da Paz;04/12/2023;+55 81 4477-0422;diasthales@farias.org;5773.03;Inativo;Móveis;wB15-19in;Área de Moura, Vila Nova Gameleira 3ª Seção, 55652-056 Mendes do Galho / PI;RJ;63572-449;Mesa;;Cartão;Entregar urgente
Kamilly Barros;24/12/2024;(071) 8125-5600;pietro75@da.com;2455,37;;Alimentos;WI58-78tG;Jesus;RJ;17077-569;Bolacha;;Cartão;Atraso na entrega
Dra. Dra. Letícia Novaes;2024-06-21;5561944341916;valentinateixeira@uol.com.br;2629,47;INATIVO;Roupas;gO63-79Qx;Avenida Ana Sophia Nascimento, 227, Parque São Pedro, 83954-228 Farias / TO;SP;89140306;Calça;;PIX;Cliente VIP
Sr. Mariana Viana;2024-12-29;+55 (071) 4354-8134;mendesana-beatriz@aragao.com;9506,8;Ativo;Móveis;Pw80-87FZ;Vereda de Barros, 6, Apolonia, 38476535 Cavalcanti do Galho / AP;MG;35758594;Mesa;4;Cartão;
Dr. Nathan Peixoto;30/08/2023;+55 71 1147-9860;daniel96@gmail.com;6603,47;Ativo;Alimentos;jt36-91yW;Aragão;XX;69667288;Chocolate;3;;Cliente VIP
Sr. Maria Eduarda Jesus;23/01/2025;+55 41 9654-9184;dda-conceicao@da.org;7014,32;;Móveis;BH49-03je;Avenida Marina Costa, 731, Calafate, 85940753 Sales Paulista / DF;RJ;93874001;Mesa;5;dinheiro;
sra. esther azevedo;14/01/2024;5561980608415;biancamoura@da.com;2898,14;Ativo;Alimentos;Up50-29ez;Distrito Aragão, 50, Vila Ouro Minas, 08638130 da Mata / AM;RJ;05151406;Bolacha;1;PIX;Cliente VIP
Giovanna Castro;31/03/2024;(061) 6892-6450;nina26@da.br;9953,84;;Alimentos;nT40-03EP;Chácara Araújo, Europa, 97500-543 Araújo da Praia / SC;SP;45104679;Chocolate;;Boleto;Entregar urgente
Gabrielly Gonçalves;13/10/2024;5511983791691;ana-claracastro@araujo.org;4282.43;ativo;Móveis;rn01-96Vm;Alves;RS;46475004;Cadeira;4;;
